original_id,short_id,accession,organism,country,year
"MH168510.2 Klebsiella pneumoniae strain DMC-18 metallo-beta-lactamase NDM-5 (blaNDM-5) gene, complete cds",KpNDM_0234_Unknown_Unknown,MH168510.2,Unknown,Unknown,Unknown
"NG_049013.1 Klebsiella pneumoniae pJIE137 blaCTX-M gene for extended-spectrum class A beta-lactamase CTX-M-62, complete CDS",KpNDM_0235_Unknown_Unknown,NG_049013.1,Unknown,Unknown,Unknown
"MH168514.2 Klebsiella pneumoniae strain DMC-17a metallo-beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0236_Unknown_Unknown,MH168514.2,Unknown,Unknown,Unknown
"KC534869.1 Klebsiella pneumoniae strain JIE2713 clone 2713-K35 insertion sequence IS1, complete sequence; and OmpK36 (ompK36) gene, complete cds",KpNDM_0237_Unknown_Unknown,KC534869.1,Unknown,Unknown,Unknown
"OR454196.1 Klebsiella pneumoniae subsp. pneumoniae strain K13-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0238_Unknown_Unknown,OR454196.1,Unknown,Unknown,Unknown
"OR475319.1 Klebsiella pneumoniae subsp. pneumoniae strain K25-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0239_Unknown_Unknown,OR475319.1,Unknown,Unknown,Unknown
"OR475318.1 Klebsiella pneumoniae subsp. pneumoniae strain K24-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0240_Unknown_Unknown,OR475318.1,Unknown,Unknown,Unknown
"OR454197.1 Klebsiella pneumoniae subsp. pneumoniae strain K19-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0241_Unknown_Unknown,OR454197.1,Unknown,Unknown,Unknown
"OR480998.1 Klebsiella pneumoniae subsp. pneumoniae strain K31-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0242_Unknown_Unknown,OR480998.1,Unknown,Unknown,Unknown
"OR480999.1 Klebsiella pneumoniae subsp. pneumoniae strain K32-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0243_Unknown_Unknown,OR480999.1,Unknown,Unknown,Unknown
"OR494057.1 Klebsiella pneumoniae subsp. pneumoniae strain K34-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0244_Unknown_Unknown,OR494057.1,Unknown,Unknown,Unknown
"OR494058.1 Klebsiella pneumoniae subsp. pneumoniae strain K35-A4 carbapenem-hydrolyzing class A beta-lactamase KPC-2 (blaKPC) gene, blaKPC-2 allele, complete cds",KpNDM_0245_Unknown_Unknown,OR494058.1,Unknown,Unknown,Unknown
"NZ_CP084333.1 Klebsiella pneumoniae strain HJM-ERG332 plasmid unnamed1, complete sequence",KpNDM_0246_Unknown_Unknown,NZ_CP084333.1,Unknown,Unknown,Unknown
"KF220658.1 Klebsiella pneumoniae strain MGR-K8 plasmid pNDM_MGRK8, complete sequence",KpNDM_0247_Unknown_Unknown,KF220658.1,Unknown,Unknown,Unknown
"NZ_KF220658.1 Klebsiella pneumoniae strain MGR-K8 plasmid pNDM_MGRK8, complete sequence",KpNDM_0248_Unknown_Unknown,NZ_KF220658.1,Unknown,Unknown,Unknown
"CP084333.1 Klebsiella pneumoniae strain HJM-ERG332 plasmid unnamed1, complete sequence",KpNDM_0249_Unknown_Unknown,CP084333.1,Unknown,Unknown,Unknown
"NZ_JAVVMU010000190.1 Klebsiella pneumoniae strain CB-2023-17 NODE_190_length_1088_cov_17.344433, whole genome shotgun sequence",KpNDM_0250_Unknown_Unknown,NZ_JAVVMU010000190.1,Unknown,Unknown,Unknown
